5-MCDG_1	5-MCDG	thymine DNA glycosylase 
ALOX5AP_1	ALOX5AP	arachidonate 5-lipoxygenase activating protein 
ALPK3_1	ALPK3	alpha kinase 3 
ALX1_1	ALX1	ALX homeobox 1 
ALYREF_1	ALYREF	Aly/REF export factor 
AMACR_1	AMACR	
AMBP_1	AMBP	alpha-1-microglobulin/bikunin precursor 
AMBRA1_1	AMBRA1	autophagy and beclin 1 regulator 1 
AMDHD1_1	AMDHD1	amidohydrolase domain containing 1 
AMH_1	AMH	anti-Mullerian hormone 
AMIGO2_1	AMIGO2	adhesion molecule with Ig like domain 2 
AMN1_1	AMN1	antagonist of mitotic exit network 1 homolog 
AMN_1	AMN	amnion associated transmembrane protein 
AMPH_1	AMPH	amphiphysin 
AMT_1	AMT	aminomethyltransferase, mitochondrial precursor 
ANAPC10_1	ANAPC10	anaphase promoting complex subunit 10 
ANAPC13_1	ANAPC13	anaphase promoting complex subunit 13 
ANAPC16_1	ANAPC16	anaphase promoting complex subunit 16 
ANAPC5_1	ANAPC5	anaphase promoting complex subunit 5 
ANGEL1_1	ANGEL1	angel homolog 1 
ANGEL2_1	ANGEL2	angel homolog 2 
ANGPTL1_1	ANGPTL1	angiopoietin like 1 
ANGPTL2_1	ANGPTL2	angiopoietin like 2 
ANGPTL3_1	ANGPTL3	angiopoietin like 3 
ANK3_1	ANK3	ankyrin 3 
ANKMY2_1	ANKMY2	ankyrin repeat and MYND domain containing 2 
ANKRA2_1	ANKRA2	
ANKRD10_1	ANKRD10	Ankyrin repeat domain-containing protein 10 
ANKRD1_1	ANKRD1	ankyrin repeat domain 1 
ANKRD44_1	ANKRD44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B 
ANKRD49_1	ANKRD49	ankyrin repeat domain 49 
ANKRD50_1	ANKRD50	ankyrin repeat domain 50 
ANKRD52_1	ANKRD52	ankyrin repeat domain 52 
ANKS1B_1	ANKS1B	ankyrin repeat and sterile alpha motif domain-containing protein 1B 
ANO10_1	ANO10	anoctamin 10 
ANO3_1	ANO3	anoctamin-3 isoform 1 
ANP32B_1	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B 
ANP32E_1	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E 
ANPEP_1	ANPEP	alanyl aminopeptidase, membrane 
ANXA11_1	ANXA11	annexin A11 
ANXA1_1	ANXA1	
ANXA2_1	ANXA2	annexin A2 
ANXA4_1	ANXA4	annexin A4 
ANXA5_1	ANXA5	Annexin A5 
ANXA6_1	ANXA6	annexin A6 
ANXA7_1	ANXA7	annexin A7 
AOX1_1	AOX1	aldehyde oxidase 1 
AP1G1_1	AP1G1	AP-1 complex subunit gamma-1 
AP1M1_1	AP1M1	adaptor related protein complex 1 mu 1 subunit 
AP1S2_1	AP1S2	adaptor related protein complex 1 sigma 2 subunit 
AP1S3_1	AP1S3	adaptor related protein complex 1 sigma 3 subunit 
AP2A2_1	AP2A2	adaptor related protein complex 2 alpha 2 subunit 
AP2M1_1	AP2M1	adaptor related protein complex 2 mu 1 subunit 
AP3B1_1	AP3B1	
AP3M1_1	AP3M1	adaptor related protein complex 3 mu 1 subunit 
AP3M1_2	AP3M1	adaptor related protein complex 3 mu 1 subunit 
AP3M2_1	AP3M2	adaptor related protein complex 3 mu 2 subunit 
AP3S1_1	AP3S1	
AP3S2_1	AP3S2	adaptor-related protein complex 3, sigma 2 subunit isoform 2 
AP4B1_1	AP4B1	AP-4 complex subunit beta-1 
AP4S1_1	AP4S1	adaptor related protein complex 4 sigma 1 subunit 
AP5M1_1	AP5M1	adaptor related protein complex 5 mu 1 subunit 
APBB1IP_1	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein 
APC2_1	APC2	APC2, WNT signaling pathway regulator 
APCDD1_1	APCDD1	APC down-regulated 1 
APELA_1	APELA	apelin receptor early endogenous ligand 
API5_1	API5	Apoptosis inhibitor 5 
APIP_1	APIP	APAF1 interacting protein 
APLF_1	APLF	aprataxin and PNK-like factor 
APMAP_1	APMAP	adipocyte plasma membrane associated protein 
APOA1_1	APOA1	apolipoprotein A1 
APOA4_1	APOA4	apolipoprotein A4 
APOBEC2_1	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2 
APOB_1	APOB	apolipoprotein B 
APOD_1	APOD	apolipoprotein D 
APOH_1	APOH	apolipoprotein H 
APOOL_1	APOOL	apolipoprotein O like 
APPBP2_1	APPBP2	amyloid beta precursor protein binding protein 2 
APP_1	APP	amyloid beta precursor protein 
APRT_1	APRT	adenine phosphoribosyltransferase 
APTX_1	APTX	
AQP11_1	AQP11	aquaporin 11 
AQP2_1	AQP2	aquaporin 2 
AQP4_1	AQP4	aquaporin-4 isoform 1x 
AQP5_1	AQP5	aquaporin 5 
AQP9_1	AQP9	aquaporin 9 
ARCN1_1	ARCN1	Coatomer subunit delta 
AREG_1	AREG	amphiregulin 
ARF5_1	ARF5	ADP-ribosylation factor 5 
ARFGAP1_1	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 
ARFGAP2_1	ARFGAP2	ADP ribosylation factor GTPase activating protein 2 
ARFGAP3_1	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 
ARFIP1_1	ARFIP1	ADP ribosylation factor interacting protein 1 
ARFRP1_1	ARFRP1	ADP ribosylation factor related protein 1 
ARG2_1	ARG2	arginase 2 
ARGLU1_1	ARGLU1	arginine and glutamate rich 1 
ARHGAP15_1	ARHGAP15	Rho GTPase activating protein 15 
ARHGAP1_1	ARHGAP1	Rho GTPase activating protein 1 
ARHGAP26_1	ARHGAP26	Rho GTPase-activating protein 26 
ARHGAP26_2	ARHGAP26	Rho GTPase-activating protein 26 
ARHGAP29_1	ARHGAP29	Rho GTPase activating protein 29 
ARHGAP40_1	ARHGAP40	Rho GTPase activating protein 40 
ARHGDIA_1	ARHGDIA	Rho GDP dissociation inhibitor alpha 
ARHGDIB_1	ARHGDIB	Rho GDP dissociation inhibitor beta 
ARHGEF28_1	ARHGEF28	
ARHGEF39_1	ARHGEF39	
ARHGEF3_1	ARHGEF3	Rho guanine nucleotide exchange factor 3 
ARHGEF6_1	ARHGEF6	Rho guanine nucleotide exchange factor 6 
ARID2_1	ARID2	AT-rich interaction domain 2 
ARID4A_1	ARID4A	AT-rich interaction domain 4A 
ARID4B_1	ARID4B	AT-rich interaction domain 4B 
ARID4B_2	ARID4B	AT-rich interaction domain 4B 
ARID5B_1	ARID5B	AT-rich interaction domain 5B 
ARIH1_1	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 
ARIH1_2	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 
ARIH1_3	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 
ARIH2_1	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2 
ARL10_1	ARL10	ADP ribosylation factor like GTPase 10 
ARL14EP_1	ARL14EP	ADP ribosylation factor like GTPase 14 effector protein 
ARL1_1	ARL1	ADP ribosylation factor like GTPase 1 
ARL2BP_1	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein 
ARL3_1	ARL3	ADP ribosylation factor like GTPase 3 
ARL5B_1	ARL5B	ADP ribosylation factor like GTPase 5B 
ARL6IP4_1	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4 
ARL6IP5_1	ARL6IP5	PRA1 family protein 3 
ARL6_1	ARL6	ADP ribosylation factor like GTPase 6 
ARL8A_1	ARL8A	ADP ribosylation factor like GTPase 8A 
ARL8B_1	ARL8B	ADP ribosylation factor like GTPase 8B 
ARMC1_1	ARMC1	Armadillo repeat-containing protein 1 
ARMC6_1	ARMC6	armadillo repeat containing 6 
ARMC7_1	ARMC7	armadillo repeat containing 7 
ARMC8_1	ARMC8	armadillo repeat containing 8 
ARMT1_1	ARMT1	acidic residue methyltransferase 1 
ARNTL2_1	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2 
ARNT_1	ARNT	aryl hydrocarbon receptor nuclear translocator 
ARPC1A_1	ARPC1A	actin related protein 2/3 complex subunit 1A 
ARPC1B_1	ARPC1B	actin related protein 2/3 complex subunit 1B 
ARPC2_1	ARPC2	actin related protein 2/3 complex subunit 2 
ARPC3_1	ARPC3	actin related protein 2/3 complex subunit 3 
ARPC4_1	ARPC4	actin related protein 2/3 complex subunit 4 
ARPC5_1	ARPC5	actin related protein 2/3 complex subunit 5 
ARPP19_1	ARPP19	cAMP regulated phosphoprotein 19 
ARRDC1_1	ARRDC1	arrestin domain containing 1 
ARSA_1	ARSA	arylsulfatase A 
ARSJ_1	ARSJ	arylsulfatase family member J 
ARSK_1	ARSK	
AR_1	AR	androgen receptor 
AR_2	AR	androgen receptor 
AS3MT_1	AS3MT	arsenite methyltransferase 
ASAH1_1	ASAH1	N-acylsphingosine amidohydrolase 1 
ASB13_1	ASB13	ankyrin repeat and SOCS box containing 13 
ASB5_1	ASB5	ankyrin repeat and SOCS box containing 5 
ASB5_2	ASB5	ankyrin repeat and SOCS box containing 5 
ASB6_1	ASB6	ankyrin repeat and SOCS box containing 6 
ASB7_1	ASB7	ankyrin repeat and SOCS box containing 7 
ASB9_1	ASB9	ankyrin repeat and SOCS box containing 9 
ASBT_1	ASBT	solute carrier family 10 member 2 
ASCC1_1	ASCC1	activating signal cointegrator 1 complex subunit 1 
ASCC2_1	ASCC2	activating signal cointegrator 1 complex subunit 2 
ASCC3_1	ASCC3	activating signal cointegrator 1 complex subunit 3 
ASCC3_2	ASCC3	activating signal cointegrator 1 complex subunit 3 
ASCL1_1	ASCL1	achaete-scute family bHLH transcription factor 1 
ASF1_1	ASF1	Histone chaperone ASF1 
ASH2L_1	ASH2L	ASH2 like histone lysine methyltransferase complex subunit 
ASIC1_1	ASIC1	Acid-sensing ion channel 1 
ASL2_1	ASL2	Argininosuccinate lyase 
ASMTL_1	ASMTL	acetylserotonin O-methyltransferase like 
ASNSD1_1	ASNSD1	asparagine synthetase domain containing 1 
ASNS_1	ASNS	asparagine synthetase (glutamine-hydrolyzing) 
ASPG_1	ASPG	asparaginase 
ASPHD2_1	ASPHD2	aspartate beta-hydroxylase domain containing 2 
ASPM_1	ASPM	abnormal spindle microtubule assembly 
ASPN_1	ASPN	asporin 
ASPR_1	ASPR	tachykinin receptor 1 
ASS1_1	ASS1	argininosuccinate synthase 1 
ASTL_1	ASTL	Astacin-like metalloendopeptidase 
ASTN1_1	ASTN1	astrotactin 1 
ASXL1_1	ASXL1	additional sex combs like 1, transcriptional regulator 
ASXL2_1	ASXL2	putative Polycomb group protein ASXL2 
ATAD1_1	ATAD1	ATPase family, AAA domain containing 1 
ATE1_1	ATE1	arginyltransferase 1 
ATF4_1	ATF4	activating transcription factor 4 
ATG12_1	ATG12	
ATG3_1	ATG3	autophagy related 3 
ATG3_2	ATG3	autophagy related 3 
ATG4A_1	ATG4A	Cysteine protease ATG4A 
ATG4B_1	ATG4B	Cysteine protease ATG4B 
ATG4C_1	ATG4C	autophagy related 4C cysteine peptidase 
ATG5_1	ATG5	autophagy related 5 
ATG5_2	ATG5	autophagy related 5 
ATG7_1	ATG7	autophagy related 7 
ATG9A_1	ATG9A	autophagy-related protein 9A 
ATIC_1	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase 
ATL1_1	ATL1	atlastin GTPase 1 
ATL2_1	ATL2	atlastin GTPase 2 
ATM_1	ATM	ATM serine/threonine kinase 
ATOX1_1	ATOX1	antioxidant 1 copper chaperone 
ATP10A_1	ATP10A	ATPase phospholipid transporting 10A 
ATP13A2_1	ATP13A2	ATPase type 13A2 
ATP13A4_1	ATP13A4	ATPase 13A4 
ATP1A1_1	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 
ATP1B1_1	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 
ATP1B3_1	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 
ATP1B4_1	ATP1B4	ATPase Na+/K+ transporting family member beta 4 
ATP23_1	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog 
ATP2A2_1	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 
ATP2A3_1	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 
ATP2B2_1	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 
ATP2C1_1	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 
ATP4B_1	ATP4B	ATPase H+/K+ transporting beta subunit 
ATP5B_1	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide 
ATP5C1_1	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 
ATP5D_1	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit 
ATP5F1_1	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1 
ATP5G1_1	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C1 
ATP5G2_1	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 
ATP5G3_1	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 
ATP5H_1	ATP5H	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D 
ATP5I_1	ATP5I	
ATP5J2_1	ATP5J2	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2 
ATP5J_1	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 
ATP5J_2	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 
ATP5S_1	ATP5S	ATP synthase, H+ transporting, mitochondrial Fo complex subunit s 
ATP6AP2_1	ATP6AP2	ATPase H+ transporting accessory protein 2 
ATP6V0A1_1	ATP6V0A1	ATPase H+ transporting V0 subunit a1 
ATP6V0B_1	ATP6V0B	ATPase H+ transporting V0 subunit b 
ATP6V0C_1	ATP6V0C	ATPase H+ transporting V0 subunit c 
ATP6V0D1_1	ATP6V0D1	ATPase H+ transporting V0 subunit d1 
ATP6V0D2_1	ATP6V0D2	V-type proton ATPase subunit d 2 
ATP6V1A_1	ATP6V1A	ATPase H+ transporting V1 subunit A 
ATP6V1B2_1	ATP6V1B2	V-type proton ATPase subunit B, brain isoform 
ATP6V1C1_1	ATP6V1C1	ATPase H+ transporting V1 subunit C1 
ATP6V1D_1	ATP6V1D	ATPase H+ transporting V1 subunit D 
ATP6V1G1_1	ATP6V1G1	ATPase H+ transporting V1 subunit G1 
ATP6V1G3_1	ATP6V1G3	ATPase H+ transporting V1 subunit G3 
ATP6V1H_1	ATP6V1H	V-type proton ATPase subunit H 
ATP9A_1	ATP9A	ATPase phospholipid transporting 9A 
ATXN10_1	ATXN10	ataxin 10 
ATXN7_1	ATXN7	ataxin 7 
AUH_1	AUH	
AURKAIP1_1	AURKAIP1	aurora kinase A interacting protein 1 
AURKA_1	AURKA	aurora kinase A 
AVEN_1	AVEN	apoptosis and caspase activation inhibitor 
AXIN1_1	AXIN1	axin 1 
AXIN2_1	AXIN2	axin 2 
AZIN1_1	AZIN1	antizyme inhibitor 1 
Agrp_1	Agrp	agouti related neuropeptide 
Asip_1	Asip	agouti-signaling protein precursor 
B2M_1	B2M	beta-2-microglobulin 
B3GALNT2_1	B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2 
B3GNT2_1	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 
B4GAL-T7_1	B4GAL-T7	beta-1,4-galactosyltransferase 7 
B4GALT1_1	B4GALT1	
B4GALT2_1	B4GALT2	beta-1,4-galactosyltransferase 2 
B4GALT2_2	B4GALT2	beta-1,4-galactosyltransferase 2 
B4GALT4_1	B4GALT4	beta-1,4-galactosyltransferase 4 
B9D1_1	B9D1	B9 domain containing 1 
BABAM2_1	BABAM2	BRISC and BRCA1 A complex member 2 
BAG1_1	BAG1	BCL2 associated athanogene 1 
BAG3_1	BAG3	BCL2 associated athanogene 3 
BAG5_1	BAG5	BCL2 associated athanogene 5 
