#Name	TATA-box	Inr	CCAAT-box	GC-box
PSMD1_2	0	0	0	0
ZNF644_1	0	0	0	0
TTC26_1	0	0	0	0
GPC1_1	0	0	0	0
PXN_1	0	0	0	0
CFAP36_1	0	1	0	1
LSM1_1	0	0	1	1
PRKACB_1	0	0	0	0
AGBL5_1	0	0	0	1
MRPS9_1	0	1	0	1
RCL1_1	0	0	0	1
MOB2_1	0	0	0	1
NOL11_1	0	0	0	0
SS18_1	0	0	0	0
FAM222B_2	0	1	0	0
SMYD2_2	0	0	0	0
HNRNPH1_2	0	0	0	1
Ufd1l_1	0	0	0	1
SRSF5_1	0	1	1	1
RGS4_1	1	1	0	0
CRYBA2_1	1	1	0	0
MRPL38_1	0	0	0	0
SLC16A1_1	1	0	0	1
MYBPH_1	1	1	0	0
MRPL43_1	0	0	0	1
MINOS1_1	0	0	0	0
ASF1_1	0	0	0	0
DHRS7_1	0	0	0	1
CHN1_1	0	0	0	0
PRRC1_1	0	1	0	0
HPS1_1	0	0	0	1
CPOX_1	0	1	0	0
HNRNPH1_1	1	0	1	1
CSNK1G1_1	0	0	0	0
ZDHHC8_1	0	0	0	0
KCTD20_1	0	0	1	1
RARS_1	0	1	0	0
APP_1	0	1	0	1
GGCL1_1	1	1	0	0
VSIG10_1	0	0	1	0
gallin_2_1	1	1	0	1
DLST_1	0	0	0	1
PSMA5_1	0	0	1	1
SNX12_1	0	0	0	0
MIER1_3	0	0	0	1
GABPA_1	0	0	0	0
FARSA_1	0	1	0	1
ERN2_1	0	0	0	1
SCRN3_2	0	0	0	0
COX11_1	0	0	0	1
ZW10_1	0	0	0	1
ATF4_1	1	1	0	0
CHCHD3_1	0	0	1	1
CKS2_1	0	0	1	1
MEIG1_1	0	0	1	0
MYBL2_1	0	0	0	1
XPA_3	0	0	0	0
NFKB2_2	0	0	0	0
RNF20_1	0	0	0	0
CASC4_1	0	0	0	0
TCP1_1	0	0	1	1
LDLRAD4_1	0	0	0	0
GFRA2_1	0	0	0	0
CRYAB_1	1	0	0	0
THOC1_1	0	0	0	1
SDCBP_1	0	1	0	1
ADAM9_1	0	0	0	0
EIF4EBP1_1	0	1	0	1
NMNAT2_1	0	0	0	1
CHRAC1_1	0	0	0	0
CDH19_1	0	0	0	0
SALL1_2	0	1	0	0
MMAA_1	0	1	0	0
FMOD_1	1	1	0	0
QRSL1_1	0	0	1	0
LDLRAD4_2	0	0	0	0
PARP3_1	0	0	0	1
HINT3_1	0	0	0	0
MAP1LC3C_1	1	0	0	1
SLC35E3_1	0	0	0	1
KIAA1324_1	0	0	0	0
POLR2K_2	0	0	1	0
Lpin2_2	0	0	0	0
ASNS_1	0	0	0	0
ADHFE1_1	0	1	0	0
ZBTB2_1	0	0	0	1
TMTC4_1	0	0	0	1
MRPS10_1	0	0	0	1
KCNJ2_1	0	1	0	1
VAV3_1	0	0	0	0
PPA1_1	0	1	0	1
PNRC2_1	1	0	1	1
MTERF3_1	0	0	0	1
PLAU_1	1	1	0	0
PELI1_1	0	1	1	0
GINS3_1	0	0	0	0
PITX2_1	0	0	0	0
AGO4_2	0	1	1	0
C1orf27_2	0	1	0	0
RBP4_1	1	0	0	0
CKMT2_1	0	1	0	0
UBP_1	0	0	0	0
SLC30A4_1	0	0	0	0
AIFM1_1	0	0	1	0
TSKU_2	1	0	0	1
ENKUR_1	0	0	0	1
HS2ST1_1	0	0	1	1
UBAC2_1	0	0	0	0
SOX9_1	0	0	0	0
PIGF_1	0	1	0	0
JAK1_2	0	0	0	0
MLEC_1	0	0	1	0
HS1BP3_1	0	0	0	0
PPM1B_1	0	0	1	0
ATP6V1A_1	0	1	0	1
MDM4_2	0	0	0	0
PUM1_1	0	1	0	0
ACYP1_1	0	0	1	1
PPT1_1	0	0	0	1
GNG12_1	0	0	0	0
HABP2_1	0	1	1	0
HOXB7_1	0	0	0	0
NUDC_1	0	1	1	0
ZBTB8A_1	0	0	0	0
CSRP3_1	1	1	0	0
PYGB_1	0	1	0	0
FABP6_2	0	0	0	1
TSSC4_1	0	0	0	0
ATG5_2	0	0	0	1
MAFA_2	0	0	1	0
ARFGAP1_1	0	0	0	1
AIMP2_1	0	0	1	0
NAPB_1	0	0	0	1
NGB_1	0	0	0	0
PHKG1_1	0	0	0	0
STARD8_1	0	0	0	0
GMPR_1	0	0	0	0
NT5DC1_1	0	0	0	1
MMP16_1	0	1	0	0
UBE2I_2	0	0	0	1
CEBPZ_1	0	1	0	0
MPP1_1	0	1	0	1
SASS6_1	0	0	0	0
INSIG2_1	0	0	0	0
BBS2_1	0	0	0	1
RIPK2_1	0	1	0	1
NEUROG1_1	0	0	0	1
IRF1_1	0	1	1	1
ALPK3_1	1	1	0	1
BMF_1	0	1	1	1
SH3GLB2_1	1	1	0	0
TCF3_1	0	0	0	1
AR_1	0	1	0	0
UBAC1_1	0	0	0	1
LCORL_1	0	1	0	0
RAB8A_3	0	0	1	1
CTNNA1_2	0	0	0	0
KLF11_1	0	0	1	1
EXOSC9_1	0	0	0	0
SCIN_1	1	1	0	0
STXBP3_1	0	0	0	1
FKBP7_1	0	1	0	1
USB1_1	0	1	0	1
HSPH1_1	1	0	1	0
ZFC3H1_1	0	0	0	1
RFX5_1	0	0	0	1
CD99_1	0	0	0	1
DYNC1I2_2	0	0	0	1
AREG_1	1	0	1	1
MST1_1	0	1	0	1
B4GALT2_1	0	0	1	0
MAT1A_1	1	0	0	0
HABP4_1	0	0	1	1
COX19_1	0	0	0	1
P4HA3_1	0	1	0	0
TMEM131_1	0	0	0	1
LANCL3_1	0	1	0	0
MRPS2_1	0	0	0	0
RUSC2_1	0	1	0	0
REL_1	0	0	0	0
EIF4G1_1	0	0	0	1
TCEB1_2	0	0	0	0
TGS1_1	0	0	0	1
MAD2L2_1	0	1	0	0
TRIM25_1	0	0	0	0
SLC9A3R1_1	1	0	1	1
KCTD7_1	0	1	0	1
RIC8A_1	0	0	0	0
GLI2_1	1	0	0	0
RAB10_1	0	0	1	1
TRA2B_1	0	0	0	1
PNOC_1	0	0	0	0
FBP1_1	0	0	0	1
JKAMP_1	0	0	0	1
SH3GLB1_1	0	0	0	0
RASA3_1	0	0	1	1
TMEM241_1	0	0	0	0
CD247_1	0	0	0	0
C9orf85_1	0	0	0	1
CBX1_1	0	0	0	0
VAMP1_1	1	0	1	1
RPL32_1	0	0	0	0
ATP10A_1	0	1	0	0
SRRM1_1	0	1	1	1
Mlx_1	0	0	0	1
SIRT4_2	0	0	0	0
TBL1XR1_1	0	0	0	0
GINS4_1	0	1	0	1
BBS4_2	0	0	0	0
PRIMPOL_1	0	0	0	1
ASTN1_1	0	0	0	1
CWF19L1_1	0	0	0	0
PRKCZ_1	0	0	0	0
PEX13_1	0	0	1	1
EIF4H_1	1	0	0	0
IGF2BP2_1	0	0	0	0
UBXN4_1	0	0	0	1
SUPT6H_1	0	0	0	1
MYL6_1	1	1	0	1
CNN2_1	0	0	0	1
GTSE1_1	0	0	0	1
CRYL1_1	1	0	1	0
EPB42_1	1	0	0	0
DTYMK_1	0	0	1	1
POLR1E_1	0	1	0	1
EHF_1	0	1	1	0
CECR1_1	1	1	0	1
MYOM2_1	0	1	0	0
PCDH9_1	0	1	0	0
DBNDD2_1	0	0	0	0
CRTC1_1	0	0	0	1
TTC7B_1	0	0	0	1
SPP2_1	1	0	0	0
CENPN_1	0	0	0	0
ODC1_1	0	0	0	1
CSF3R_1	0	1	0	1
CLIC2_1	0	0	0	0
GALNT1_1	0	0	0	0
HAGHL_1	0	1	0	1
TAF5_1	0	0	0	0
CREB3L2_1	0	1	1	1
BCAP29_2	0	0	0	0
CH25H_1	1	1	0	0
TEX10_1	0	0	0	0
KPNA3_1	0	0	1	1
EDEM1_1	0	0	0	1
DNAJC11_1	0	0	0	1
NT5DC3_1	0	0	0	1
SCG5_1	0	0	0	0
tyrosine_hydroxylase_1:+U	0	0	0	0
RHOJ_1	0	1	0	0
NDUFB3_2	0	0	0	0
PDIA3_1	0	1	1	1
ABHD12_1	0	0	0	1
RABL3_1	0	0	1	1
SH3BGRL_1	0	0	0	1
PTPRU_1	1	0	0	1
CENPT_1	0	0	0	0
GFM1_1	0	0	0	1
MRAS_1	1	0	0	0
CLIC3_1	0	1	0	0
UNC13B_1	0	0	0	0
CLYBL_1	0	0	0	0
TMEM150C_2	0	0	0	0
MRPS11_1	0	0	0	0
SNW1_1	0	0	0	0
STAT3_1	0	1	0	0
PSMB4_1	0	0	0	1
TIPARP_1	0	0	0	1
FAXDC2_1	0	0	0	0
NPBWR2_1	0	0	0	0
ARPC1B_1	0	0	0	1
ID2_1	1	1	1	1
RPL34_1	0	0	0	1
CEPT1_1	0	0	0	1
TIMP3_1	1	1	0	1
PBX3_1	0	1	0	1
USP6NL_1	0	1	0	0
DUSP7_1	0	0	0	1
TMED5_1	0	0	0	1
PMEL_1	0	0	0	0
PTK2_1	0	0	0	1
S100B_1	0	0	0	0
CHRDL1_1	0	1	0	1
FAM107B_1	0	1	0	1
EIF2S1_1	0	0	0	0
DESI1_1	0	1	1	1
RARS2_1	0	1	0	1
HMBS_1	0	0	0	1
CAMKK2_1	0	0	0	1
BMPER_1	1	0	0	1
NCOA4_2	0	1	0	0
XRN2_1	0	0	0	1
UPK1B_1	1	0	1	0
BCKDHB_1	0	0	0	1
SYNGR3_1	0	0	0	0
PLRG1_1	0	1	0	0
RHAG_1	0	0	0	0
NQO2_1	0	0	0	1
LVRN_1	0	0	0	1
COG7_1	0	0	0	1
SPATA6_1	0	0	0	0
PAX6_2	1	1	0	1
TRPA1_1	0	1	0	1
RHNO1_1	0	0	1	1
ARL2BP_1	0	0	1	1
RBKS_1	0	0	0	0
PRELID3A_1	0	0	0	1
C18orf21_1	0	1	0	0
KIAA1147_1	0	0	0	1
PTGR2_1	0	0	0	0
MPPE1_1	0	1	0	1
HBAA_1	1	1	1	1
CYR61_1	1	1	0	1
AKAP17A_1	0	0	0	0
VTI1A_1	0	1	0	1
PPP1R7_1	0	0	0	0
SOD1_1	1	0	1	0
POLR2E_1	0	0	1	1
AGK_1	0	0	0	0
LRPPRC_1	0	0	0	0
SLC35F2_1	0	0	0	1
TTC1_1	0	0	0	1
OPTN_1	0	0	0	0
TMOD4_1	1	0	0	1
SIRT5_1	0	0	0	1
RPS23_1	0	0	0	1
ACSL1_1	1	0	0	1
CCNK_1	0	0	1	0
WDR4_1	0	0	0	0
LMBRD2_2	0	0	0	0
PLEKHM3_1	0	0	0	0
TBC1D1_1	0	1	0	1
ALAD_1	0	0	0	0
ERLIN1_1	0	0	0	0
ANXA7_1	0	0	0	0
RASSF2_1	0	0	1	0
IGF1R_1	0	0	0	0
PPDPF_1	1	0	1	1
PROM2_1	0	0	0	0
IFT43_1	0	0	0	1
NMRK2_3	0	0	0	1
SNRPF_1	0	1	1	1
SLC46A3_1	0	1	0	0
POT1_1	0	0	1	1
INSIG1_1	0	0	0	1
RBP2_1	1	1	0	0
TWF2_1	0	0	0	1
ATP5F1_1	0	0	0	0
GATAD2A_2	0	0	1	0
GRIA1_1	0	1	0	0
BDH1_1	0	1	0	0
RPS15_1	0	0	0	1
PPP1R12A_1	0	1	0	1
ABI1_1	0	0	0	1
MRPS36_1	0	1	0	1
ZNF639_1	0	0	0	0
CTHRC1_1	0	1	0	0
TBC1D1_2	1	0	0	0
ADAM10_1	0	1	0	0
REPS1_2	0	0	0	0
SFR1_2	0	0	0	1
NFKBIA_1	1	1	0	1
SLIRP_1	0	0	0	0
NUBPL_1	0	0	0	1
PPFIBP1_1	0	0	0	0
AKT1_1	0	0	0	1
ZBTB43_1	0	0	0	0
DENND1A_1	0	0	1	1
B9D1_1	0	0	0	1
ZIC1_1	0	0	0	0
DHX30_1	0	0	0	0
EMP2_2	0	1	0	1
ORC4_1	0	0	0	0
PRKDC_1	0	0	0	1
GPN3_1	0	0	0	1
ACTL6A_1	0	1	1	1
ARIH1_3	0	1	0	1
CD44_1	1	0	0	1
DPH2_1	0	1	1	1
FGA_1	1	1	0	0
MEOX1_1	1	1	0	1
SLC6A6_2	0	1	0	0
RELL1_1	0	0	0	1
SNX24_1	0	0	0	0
RFC4_1	0	0	1	1
EIF5A2_1	0	0	1	1
HLX_1	0	0	0	0
NDUFS7_1	0	1	0	0
PRPSAP2_1	0	1	0	1
PPP2CA_1	0	1	0	1
AURKA_1	1	1	1	0
NCBP3_1	0	0	0	0
HACL1_1	0	0	1	0
SPATA2_1	0	1	0	1
NARS_1	0	1	0	1
SIKE1_1	0	0	0	1
CHEK2_1	0	0	0	0
DRG2_1	0	1	0	1
NENF_1	0	0	0	0
MGMT_2	0	0	0	0
GABPB2_1	0	0	1	1
RFXANK_1	0	0	0	0
SLCO2A1_1	1	1	0	0
NFYC_1	0	0	0	1
TALDO1_1	0	0	1	1
F2RL1_1	0	0	0	1
Id3_1	1	1	0	1
CTSZ_1	0	0	0	0
IL17RD_1	0	0	0	1
TRIM37_1	0	0	0	1
TSG101_1	0	0	0	1
HPRT1_1	0	0	0	1
USMG5_1	0	1	1	1
CBLL1_1	0	0	0	1
CCDC126_1	0	0	0	0
CAMK2A_1	0	0	0	0
PTH1R_1	0	0	0	0
GOLGA7_1	0	0	1	0
SLC39A13_1	0	0	0	0
TNFSF15_1	0	1	0	1
TP53I11_1	0	1	0	1
FBXO22_1	0	0	0	1
SRP14_1	0	0	0	1
WBP1L_1	1	1	0	0
CYP26A1_1	1	0	0	1
RNMT_1	0	1	0	0
LHX8_2	0	0	0	0
SLC22A7_1	1	0	1	1
RBM12B_1	0	0	0	0
CALM_2	0	0	0	0
ZNF330_1	0	0	0	0
MTRF1_1	0	0	0	0
PSPH_1	1	0	0	0
ALCAM_1	0	1	0	0
PKIG_1	0	1	0	0
DDAH1_1	0	1	1	0
PVALB_1	0	0	0	1
MIM1_1	1	0	1	0
TRPC1_1	0	1	0	0
MOB1B_1	0	0	0	1
NELFA_1	0	0	0	0
SUGT1_1	0	0	0	0
GPR18_1	0	0	0	0
TWSG1_1	0	0	0	1
MRPL48_1	0	0	0	1
SLC25A17_1	0	0	0	0
DCK_1	0	0	0	0
SPG7_1	0	0	0	1
LY86_1	0	1	0	0
STK24_1	0	0	0	0
RBM18_1	0	0	0	0
RASGEF1A_1	0	1	0	0
UTRN_1	0	0	0	1
PTPRC_1	0	0	0	0
LCLAT1_1	0	1	0	0
LAMTOR5_1	0	1	0	0
YBX3_1	0	1	0	0
CHRNB3_1	0	0	0	0
OSBPL1A_1	0	0	0	1
MLF2_1	0	0	0	1
WWP1_1	0	0	0	0
TMEM230_1	0	0	0	0
MFAP1_1	0	1	0	0
PALMD_1	0	1	0	0
NUP85_1	0	0	0	0
MICALL1_1	0	1	0	1
SLC8A3_1	0	0	0	0
NARS2_1	0	1	0	1
TCF21_1	0	0	0	1
MCMBP_1	0	1	0	1
SPON2_1	1	0	0	0
GTF3C3_1	0	0	0	1
ELOVL5_1	0	1	0	1
MYOZ1_1	0	1	0	0
GJB1_1	1	0	0	1
EXOSC7_1	0	1	0	1
LGALS3_1	0	1	0	0
PACRG_1	0	0	0	0
GALNT2_1	0	1	0	1
UBE3C_1	0	0	0	0
UBE2D2_1	0	0	0	1
TMEM38B_1	0	1	0	0
DNAJA2_1	0	1	0	1
TRUB1_2	0	0	1	0
cRPS11_1	0	0	0	1
NUDT5_2	0	0	0	0
PAF1_1	0	0	0	0
CCDC25_1	0	1	1	0
EXOSC3_1	0	0	0	0
ZDHHC21_2	0	0	0	0
FBXW11_1	0	0	1	0
IL11RA_1	0	0	0	0
CCKBR_1	0	0	0	1
ARHGAP26_1	0	0	1	1
CP_1	1	0	0	0
HNRNPM_1	0	1	0	0
CPTP_1	0	0	0	1
HOXA4_1	0	1	0	1
PTCD3_1	0	0	0	1
SCOC_1	0	0	0	0
PRKAR2A_1	0	0	0	0
CDC42EP4_2	0	0	0	0
COMMD9_1	0	1	0	0
CCT7_1	0	0	0	0
BFIV21_1	0	0	1	0
KBTBD2_1	0	0	0	1
ASCL1_1	1	0	0	1
CD2AP_1	0	0	0	0
GGPS1_1	0	1	0	1
GANC_1	0	1	0	1
AMN1_1	0	0	0	1
DNALI1_1	0	0	0	0
SUPT3H_1	0	0	0	1
DHRS3_1	1	0	1	0
PSMG2_1	0	1	0	1
INTS12_1	0	1	0	1
PREP_1	0	1	0	0
C17orf58_1	0	0	0	0
COPB1_1	0	1	0	1
LRRC40_1	0	0	0	0
EMP1_1	0	1	0	1
EGLN1_1	0	0	0	0
NFYB_1	0	0	0	1
GRN_1	0	0	1	1
P4HA1_1	1	0	0	1
KCTD6_1	0	1	0	1
CALB2_1	1	0	0	1
SBDS_1	0	1	0	0
SLC16A3_1	0	1	0	1
C1QTNF4_1	0	1	0	1
ZDHHC13_1	0	0	0	0
NSUN2_1	0	0	0	1
TRAM_1	0	0	0	1
SLC31A1_3	0	0	0	0
INTS9_1	0	0	0	1
TNPO1_2	0	0	1	1
ORAI2_1	0	0	1	1
GPX2_1	0	1	0	0
POGZ_1	0	0	0	0
TSN_1	0	1	0	0
HSPA2_1	1	1	1	1
RIC3_1	0	1	0	0
RNF126_1	0	0	1	1
DAAM1_1	0	1	0	1
MBIP_1	0	0	1	0
DBX2_1	0	0	0	0
FAM160A1_1	0	0	0	0
PDIA6_1	0	0	1	1
MTURN_1	0	0	0	0
C2orf82_1	0	0	0	1
LPAR4_2	0	0	0	1
IL1RL1_1	1	0	0	0
ORMDL3_2	0	0	0	1
LRRC6_1	0	0	0	0
STRA6_1	1	0	0	0
CIB2_1	0	1	0	0
SNX5_1	1	0	0	0
SHC3_2	0	0	0	0
C1orf50_1	0	0	0	1
LFNG_1	1	0	0	1
VPS33B_1	0	1	0	1
MFSD13A_1	0	0	0	1
ZC3HC1_1	0	1	1	0
ATP5I_1	0	0	0	0
RPS2_1	1	0	0	1
BRCC3_1	0	0	1	1
GAD2_1	0	1	0	0
MFSD2A_1	0	1	0	1
ACTN2_1	1	0	0	0
MGAT4A_1	0	0	1	1
ST6GALNAC2_1	0	1	0	0
FN3KRP_1	0	1	0	1
POLR2M_1	0	1	0	0
GNE_1	0	0	0	0
HNF1A_1	0	0	0	0
PSEN1_1	0	0	0	1
ANXA2_1	1	1	0	1
VSX2_1	1	0	1	0
SLC25A26_1	0	0	0	0
COPS3_1	0	1	1	1
STX1A_1	0	0	0	1
DUS1L_1	0	0	0	1
RNF166_1	0	0	0	1
CCDC167_1	0	0	0	1
PRKCD_1	0	1	0	1
TMEM208_2	0	0	0	1
TMOD1_1	0	1	0	0
SLC9A8_1	0	0	0	1
HDAC11_1	0	1	0	0
UTP4_1	0	1	0	0
COPS8_1	0	0	0	1
ANP32B_1	0	0	0	0
NEXN_1	1	1	0	0
CAMLG_1	0	0	0	0
PRKCA_1	0	1	0	1
CHRM3_1	0	0	0	0
IGSF11_1	0	0	0	0
FBXO4_1	0	1	0	0
SPTAN1_1	1	0	0	1
CYTH1_1	0	0	0	1
IFNGR1_1	0	0	1	0
APPBP2_1	0	1	0	1
RASSF10_1	0	1	0	0
CNTN5_2	0	0	1	0
SLC10A7_1	0	0	0	0
HDAC2_1	0	0	0	0
SLC25A22_1	0	1	0	0
VCPIP1_1	0	0	0	1
CACYBP_1	0	1	1	0
ZBTB34_1	0	0	0	1
CRYBA1_1	1	0	0	0
SMCO4_1	0	1	0	1
POLDIP3_1	0	0	0	1
FBXO5_1	1	1	1	0
MYO1C_1	0	1	0	1
CETP_1	1	1	0	0
FAM192A_1	0	0	1	1
HOXD8_1	0	0	0	1
FZR1_1	0	1	0	1
HAT1_1	0	0	0	1
SRGAP3_1	1	0	1	1
TMEM50A_1	0	0	0	1
JMJD1C_2	0	1	0	1
TNRC18_1	0	0	0	0
NUS1_1	0	0	0	0
TM6SF1_1	0	0	0	0
GCAT_1	0	0	0	1
MAP2K6_1	0	0	0	1
WAPL_1	0	0	0	1
CTNS_1	0	0	1	1
DHODH_1	0	0	1	1
GRIA3_1	0	1	1	0
FBXO48_1	0	0	0	1
TXNDC9_1	0	0	1	1
NEIL1_1	0	0	1	1
LRAT_1	1	0	0	0
MSN_1	0	1	0	1
CNOT8_1	0	1	0	0
YWHAZ_1	0	1	1	0
PSMG1_1	0	0	0	0
PPCS_1	0	0	0	0
CIB1_1	0	0	0	1
TINAG_1	1	1	0	0
CHTF18_1	0	0	1	0
DNAL1_1	0	0	0	1
RPLP2_1	0	0	1	0
LHX9_1	0	1	0	1
RFFL_1	0	0	0	0
ZFHX3_1	0	1	0	0
MCPH1_1	0	0	0	1
ZC3HAV1_1	0	1	0	0
FAM175B_1	0	1	0	0
CTNNAL1_1	0	0	0	1
KPNA1_1	0	1	0	0
ERBB2_1	0	1	0	1
HMOX1_1	1	0	0	0
ITFG1_1	0	0	0	0
MAPK6_1	0	0	0	1
IPO11_1	0	1	0	0
RPRD2_1	0	0	0	0
SIRT7_1	0	0	0	1
CCDC174_1	0	0	0	1
SUMF2_1	0	1	0	1
CLK4_2	0	0	0	0
NCMAP_1	1	0	0	0
FDXR_1	0	0	1	1
NUB1_1	0	1	0	1
NAF1_1	0	0	0	1
THBS4_1	0	0	0	1
PPM1D_1	0	0	0	1
OLIG2_1	1	0	0	0
NPM1_1	1	0	0	1
SMYD2_1	0	0	0	0
TGFBR3_1	0	0	1	0
WNT3A_1	0	0	1	0
P3H4_1	0	1	0	1
ACTR3_1	0	0	0	1
RPL31_1	0	0	0	0
GPR20_1	0	0	0	1
RRP7A_1	0	0	0	1
POLR2H_1	0	1	0	1
RAD21_1	0	1	0	0
TMEM250_1	0	0	0	0
F10_1	0	1	0	0
MMD_1	0	0	0	1
ZNF800_1	0	0	0	0
PKD2_1	0	1	0	1
TNIK_2	1	1	0	1
CASP3_1	0	0	0	0
SLC45A2_1	0	0	1	1
CNBP_1	0	0	0	0
IFT27_1	0	0	0	1
IPO9_1	0	0	0	1
GOT2_1	0	1	0	0
BCHE_1	0	0	0	0
WRB_1	0	0	0	1
HESX1_2	1	0	0	0
CFAP97_1	1	0	0	1
TRMT2A_1	0	0	0	0
MPZL1_1	0	1	1	0
NFKB2_3	0	0	0	0
WARS2_1	0	0	0	1
TMEM38A_1	0	0	0	1
TBCCD1_1	0	0	1	0
SCRN3_1	0	0	0	1
OSGEPL1_1	0	0	0	0
MRPL2_1	0	0	0	1
HSDL2_1	0	0	0	0
PHF13_1	0	0	0	1
PLA2G12B_1	1	0	0	0
CS_1	0	0	1	1
PRELID1_1	0	0	0	1
JAK1_1	0	0	0	0
PMP2_1	1	0	1	0
GRB2_1	0	1	0	0
COQ6_1	0	0	1	1
BUB1B_1	0	1	1	0
AAMDC_1	0	0	1	1
FGFR1OP_1	0	0	0	0
FDX1_1	0	0	0	0
SH2D3C_1	0	1	0	0
AGO1_1	0	0	0	1
SSTR1_1	0	1	0	0
EPHA1_1	0	0	0	0
CTTNBP2NL_1	0	0	1	1
GNPDA2_1	0	0	0	1
TAF7_1	0	1	0	0
SMIM3_1	0	0	0	0
SNCG_1	0	0	0	0
ERICH1_1	0	0	0	0
TSKU_1	0	0	0	0
HDX_1	0	0	1	1
PIGR_1	0	0	1	0
VMA21_1	0	0	0	0
PPP6C_1	0	0	0	1
TRAF7_1	0	0	0	0
SDHAF3_1	0	0	0	0
SEC31A_1	0	0	0	0
BSG_1	1	0	1	1
MNX1_1	0	0	1	0
CSNK1A1_1	0	0	0	1
FBXO9_1	0	1	0	0
CPB2_1	0	1	0	0
ZFP64_1	0	1	0	0
GFER_1	0	0	1	0
LAMB2_1	0	0	0	0
CACNA2D1_1	1	0	0	0
TTYH2_1	0	0	0	1
AR_2	0	0	0	0
CLUAP1_1	0	0	0	1
COX18_1	0	0	0	0
RAD1_1	0	1	0	0
GALE_2	1	0	1	0
IGFBP1_1	1	0	0	0
LUZP1_2	0	0	0	0
GUSB_1	0	1	0	0
TMEM267_1	0	0	0	0
MGME1_2	0	1	0	0
GUCY1A2_1	0	0	0	0
CLEC3B_1	1	1	1	0
STX8_1	0	1	0	0
SLC2A2_1	0	1	0	1
AVEN_1	0	0	0	0
PIN4_1	0	0	0	1
MSRB1_1	0	0	0	0
SALL1_1	0	0	0	0
NELL2_1	0	0	0	0
MAFA_1	1	1	1	1
JAM2_1	0	0	0	0
ECHDC1_1	0	1	0	1
STMN2_1	0	0	0	0
TMEM65_1	0	0	0	1
A4GALT_1	0	0	0	1
WDYHV1_1	0	1	1	0
DDB1_1	0	1	0	1
PIGU_1	0	0	0	0
RSPO4_1	0	0	0	1
SNAP29_1	0	1	1	1
KIAA1328_1	0	0	0	0
